"","longitude","latitude","housing_median_age","total_rooms","total_bedrooms","population","households","median_income","median_house_value","ocean_proximity","ageRange"
"135",-122.21,37.83,34,5065,788,1627,766,6.8976,333300,"NEAR BAY","30-40"
"136",-119.73,34.42,25,2024,312,907,335,5.4127,392800,"NEAR OCEAN","20-30"
"137",-119.85,36.81,15,1743,310,1011,325,3.755,68000,"INLAND","10-20"
"138",-118.24,33.78,24,574,173,784,162,2.25,152300,"NEAR OCEAN","20-30"
"139",-122.7,38.33,26,1584,295,846,295,3.375,156300,"<1H OCEAN","20-30"
"140",-118.05,34.05,36,1084,202,920,199,3.7279,162200,"<1H OCEAN","30-40"
"141",-118.21,33.91,37,1073,265,1197,250,2.7109,133000,"<1H OCEAN","30-40"
"142",-120.38,39.82,10,1262,258,510,209,2.1667,92800,"INLAND","10-20"
"143",-119.41,36.68,18,1802,332,945,292,3.4044,115300,"INLAND","10-20"
"144",-116.89,32.82,18,2515,443,1442,449,5.0201,154400,"<1H OCEAN","10-20"
"145",-120.84,37.51,8,1191,242,688,260,2.7243,138400,"INLAND","<10"
"146",-115.53,34.91,12,807,199,246,102,2.5391,40000,"INLAND","10-20"
"147",-118.42,34.19,34,2622,572,1997,573,3.338,222500,"<1H OCEAN","30-40"
"148",-122.18,37.75,45,990,261,901,260,2.1731,82000,"NEAR BAY","40-50"
"149",-117.59,33.93,17,338,47,200,46,7.8118,244200,"INLAND","10-20"
"150",-121.28,38.7,15,5828,1051,2868,1037,3.7813,143200,"INLAND","10-20"
"151",-121.31,38.03,18,4893,1008,3036,997,2.5212,110000,"INLAND","10-20"
"152",-122.16,37.74,44,1097,239,609,215,2.0227,103100,"NEAR BAY","40-50"
"153",-122.01,37.35,33,2517,496,1158,443,5.0785,289500,"<1H OCEAN","30-40"
"154",-118.43,34.24,36,1488,313,1221,296,4.0208,171400,"<1H OCEAN","30-40"
"155",-115.57,32.79,50,1291,277,864,274,1.6667,68100,"INLAND","50+"
"156",-118.24,33.95,37,441,125,390,98,1.6513,90200,"<1H OCEAN","30-40"
"157",-122.42,38.31,18,1479,246,550,217,4.7356,333300,"NEAR BAY","10-20"
"158",-117.11,32.73,27,3160,627,1628,612,3.8864,132600,"NEAR OCEAN","20-30"
"159",-122.27,37.85,52,335,83,152,77,2.2841,106300,"NEAR BAY","50+"
"160",-117.68,33.6,24,1956,262,969,256,6.8154,265900,"<1H OCEAN","20-30"
"161",-121.52,38.5,19,4900,805,2519,855,4.8497,184400,"INLAND","10-20"
"162",-122.02,37.92,26,5077,640,1872,636,7.4713,351200,"NEAR BAY","20-30"
"163",-121.16,38.03,28,253,50,201,51,1.4732,156300,"INLAND","20-30"
"164",-122.08,39.25,52,224,38,120,45,3.017,112500,"INLAND","50+"
"165",-119.68,36.31,12,2739,535,1859,498,2.9936,60600,"INLAND","10-20"
"166",-118.2,33.9,26,1000,275,1178,263,2.12,105000,"<1H OCEAN","20-30"
"167",-119.19,34.21,27,1887,487,1339,428,2.9185,224500,"NEAR OCEAN","20-30"
"168",-122.38,40.67,10,2281,444,1274,438,2.212,65600,"INLAND","10-20"
"169",-118.24,33.96,44,1338,366,1765,388,1.7778,109900,"<1H OCEAN","40-50"
"170",-122.62,37.85,30,833,164,358,143,6.8198,493800,"NEAR OCEAN","30-40"
"171",-122.47,37.75,45,2399,426,911,423,4.4312,361000,"NEAR BAY","40-50"
"172",-117.32,34.09,38,1585,345,1347,368,2.375,75300,"INLAND","30-40"
"173",-118.08,34.1,36,2679,548,1605,533,3.5313,213200,"<1H OCEAN","30-40"
"174",-118.83,35.27,33,1190,217,717,196,2.6302,81300,"INLAND","30-40"
"175",-118.28,33.94,44,1631,338,1197,355,3.0788,1e+05,"<1H OCEAN","40-50"
"176",-118.35,33.88,36,1583,411,1097,350,4.0737,238200,"<1H OCEAN","30-40"
"177",-118.27,33.97,45,1546,371,1186,366,1.64,96800,"<1H OCEAN","40-50"
"178",-122.13,37.7,19,3516,710,1810,703,3.9032,218000,"NEAR BAY","10-20"
"179",-118.25,34.01,45,782,270,1030,235,1.0898,93400,"<1H OCEAN","40-50"
"180",-121.99,37.34,27,3353,653,1571,621,5.273,315600,"<1H OCEAN","20-30"
"181",-120.55,36.97,42,1766,344,1084,323,2.3295,74400,"INLAND","40-50"
"182",-121.82,37.81,12,4711,659,2089,621,8.3209,485400,"INLAND","10-20"
"183",-121.59,37.01,16,6637,1171,3575,1162,4.3227,251500,"INLAND","10-20"
"184",-121.84,37.66,13,13182,2074,4847,1950,5.6417,352900,"INLAND","10-20"
"185",-118.19,33.9,36,1073,271,1385,288,2.3214,104800,"<1H OCEAN","30-40"
"186",-121.14,38.82,22,1816,278,832,278,5.07,233000,"INLAND","20-30"
"187",-122.03,37.37,30,1269,290,556,266,3.8125,325000,"<1H OCEAN","30-40"
"188",-118.56,34.19,34,2185,372,986,347,4.8125,266700,"<1H OCEAN","30-40"
"189",-118.36,34.03,35,1819,499,1666,482,1.6452,125900,"<1H OCEAN","30-40"
"190",-117.12,32.66,52,16,4,8,3,1.125,60000,"NEAR OCEAN","50+"
"191",-121.94,37.73,22,1980,291,861,290,6.2726,258200,"<1H OCEAN","20-30"
"192",-121.34,38.03,12,2707,433,1200,380,4.9861,133500,"INLAND","10-20"
"193",-122.26,37.85,52,2202,434,910,402,3.2031,281500,"NEAR BAY","50+"
"194",-121.9,37.33,34,197,44,152,47,4.05,2e+05,"<1H OCEAN","30-40"
"195",-118.08,34.11,42,2628,525,1494,523,3.9464,257200,"<1H OCEAN","40-50"
"196",-118.21,34.08,26,2574,807,3163,802,1.9495,173200,"<1H OCEAN","20-30"
"197",-116.22,33.7,9,3861,849,825,401,3.2833,124700,"INLAND","<10"
"198",-118.44,34.06,28,3910,959,1763,867,5.5,500001,"<1H OCEAN","20-30"
"199",-118.26,34.14,29,3431,1222,4094,1205,2.2614,248100,"<1H OCEAN","20-30"
"200",-118.37,34.09,31,2697,706,1059,689,2.8942,500001,"<1H OCEAN","30-40"
"201",-122.41,37.72,35,2104,434,1225,410,4.8214,242900,"NEAR BAY","30-40"
"202",-117.35,33.97,27,3960,886,2807,838,3.024,122500,"INLAND","20-30"
"203",-118.26,33.95,44,1771,378,1296,399,1.6389,96700,"<1H OCEAN","40-50"
"204",-121.92,37.29,35,2189,307,800,320,7.6659,426900,"<1H OCEAN","30-40"
"205",-122.42,37.8,52,4079,1112,1466,1024,4.5913,500001,"NEAR BAY","50+"
"206",-121.76,37.7,9,3980,736,1705,679,5.7068,256700,"INLAND","<10"
"207",-117.28,34.41,14,2105,396,960,396,2.9934,118200,"INLAND","10-20"
"208",-120.83,37.77,20,1717,403,1062,401,1.6759,116700,"INLAND","20-30"
"209",-122.19,37.74,36,847,212,567,159,1.1765,87100,"NEAR BAY","30-40"
"210",-118.59,34.14,19,1303,155,450,145,10.5511,483100,"<1H OCEAN","10-20"
"211",-118.21,33.94,41,1807,442,1628,443,2.84,156100,"<1H OCEAN","40-50"
"212",-122.27,37.85,47,2077,400,719,326,2.2431,172700,"NEAR BAY","40-50"
"213",-117.08,32.73,19,2935,763,1953,720,1.4254,111300,"NEAR OCEAN","10-20"
"214",-117.67,34.06,26,1592,429,1182,365,2.4583,110400,"INLAND","20-30"
"215",-117.07,33.12,12,2453,599,1251,529,2.4122,127000,"<1H OCEAN","10-20"
"216",-121.96,37.3,20,4228,1006,2334,1007,4.3081,227300,"<1H OCEAN","20-30"
"217",-122.33,38.33,15,3193,468,1303,426,5.3017,202600,"NEAR BAY","10-20"
"218",-117.05,32.57,13,2880,576,2450,567,3.1696,138000,"NEAR OCEAN","10-20"
"219",-121.46,38.66,3,3438,603,1602,554,3.9914,120500,"INLAND","<10"
"220",-119.09,34.35,20,4725,881,2823,869,4.0122,214800,"<1H OCEAN","20-30"
"221",-118.31,33.93,42,1173,201,602,186,5.5787,142000,"<1H OCEAN","40-50"
"222",-118.21,33.89,42,1254,225,929,235,4.3646,116200,"<1H OCEAN","40-50"
"223",-120.07,36.96,42,963,216,471,211,2.2898,66100,"INLAND","40-50"
"224",-119.71,34.42,52,1411,324,1091,306,4.1062,252900,"<1H OCEAN","50+"
"225",-118.32,33.93,37,2379,462,1327,445,4.25,172100,"<1H OCEAN","30-40"
"226",-118.2,33.77,42,517,233,995,212,2.225,106300,"NEAR OCEAN","40-50"
"227",-121.16,41.78,42,2918,576,1182,440,2.1434,44000,"INLAND","40-50"
"228",-117.81,34.11,21,3481,808,1866,746,3.6201,150400,"INLAND","20-30"
"229",-118.33,34.03,39,2840,826,1911,688,1.9018,137500,"<1H OCEAN","30-40"
"230",-121.89,37.25,23,2705,449,1180,442,6.0791,316500,"<1H OCEAN","20-30"
"231",-122.23,37.84,47,3175,454,1098,485,5.2868,347600,"NEAR BAY","40-50"
"232",-117.7,33.55,12,2459,390,1054,391,7.1736,262100,"<1H OCEAN","10-20"
"233",-121.24,37.97,47,886,196,517,188,2.1991,67200,"INLAND","40-50"
"234",-117.81,33.74,24,2696,649,1908,626,3.3047,216900,"<1H OCEAN","20-30"
"235",-118.09,34.12,45,2966,415,1231,409,7.8347,500001,"<1H OCEAN","40-50"
"236",-121.3,37.85,35,1034,206,604,192,2.2391,120000,"INLAND","30-40"
"237",-122.07,37.71,40,1808,302,746,270,5.3015,254900,"NEAR BAY","40-50"
"238",-117.47,34.07,24,1017,227,568,187,1.5972,112500,"INLAND","20-30"
"239",-120.95,37.64,32,3487,740,1957,685,2.7209,88300,"INLAND","30-40"
"240",-120.71,37.38,14,1979,432,1756,382,2.6923,71400,"INLAND","10-20"
"241",-122.11,37.39,36,1660,261,655,249,6.3967,500001,"NEAR BAY","30-40"
"242",-118.22,33.94,42,1115,297,1412,325,3.0903,153500,"<1H OCEAN","40-50"
"243",-119.65,36.37,4,3725,783,1478,600,3.5486,148000,"INLAND","<10"
"244",-122.72,38.42,26,1168,253,937,248,1.9458,146000,"<1H OCEAN","20-30"
"245",-118.29,34.05,31,2818,1252,4126,1200,2.053,229200,"<1H OCEAN","30-40"
"246",-118.33,33.97,44,2526,579,1423,573,2.5363,158800,"<1H OCEAN","40-50"
"247",-121.97,37.32,19,4620,1404,2672,1308,3.699,237500,"<1H OCEAN","10-20"
"248",-117.02,33.73,14,3700,750,1171,695,1.9476,112500,"INLAND","10-20"
"249",-119.23,35.74,16,2275,659,1914,614,2.033,68400,"INLAND","10-20"
"250",-119.71,36.81,19,2282,550,1034,500,1.6618,69700,"INLAND","10-20"
"251",-118.88,34.28,22,3369,771,2751,710,4.0474,182100,"<1H OCEAN","20-30"
"252",-118.26,34.03,49,299,90,287,68,1.2096,1e+05,"<1H OCEAN","40-50"
"253",-121.81,37.35,28,3477,671,2990,648,4.4671,172600,"<1H OCEAN","20-30"
"254",-120.81,39.02,30,806,189,326,146,2.8155,101000,"INLAND","30-40"
"255",-118.15,34.04,44,647,142,457,143,3.6875,162500,"<1H OCEAN","40-50"
"256",-118.12,34.07,43,1050,252,820,244,2.025,215600,"<1H OCEAN","40-50"
"257",-117.37,34.07,52,50,9,60,16,4.125,262500,"INLAND","50+"
"258",-119.71,34.41,18,1225,317,694,306,3.6823,255000,"NEAR OCEAN","10-20"
"259",-122.71,38.37,16,2355,345,1014,348,5.6018,253000,"<1H OCEAN","10-20"
"260",-116.94,32.78,17,13559,2656,6990,2533,3.434,193200,"<1H OCEAN","10-20"
"261",-120.66,35.27,46,2217,544,1107,527,2.8009,192600,"NEAR OCEAN","40-50"
"262",-121.88,37.35,43,1086,219,715,226,4.2381,193500,"<1H OCEAN","40-50"
"263",-121.67,36.58,11,5892,837,2327,812,6.1551,291800,"<1H OCEAN","10-20"
"264",-118.58,34.21,13,6227,1317,3739,1226,4.0313,299300,"<1H OCEAN","10-20"
"265",-121.44,38.55,46,1698,383,726,386,2.9821,97000,"INLAND","40-50"
"266",-118.08,33.76,27,529,159,193,155,2.0952,71300,"<1H OCEAN","20-30"
"267",-117.6,33.85,9,6538,955,2928,892,5.3006,221400,"<1H OCEAN","<10"
"268",-117.89,33.76,34,1050,210,723,201,4.8,192700,"<1H OCEAN","30-40"
"269",-121.05,39.21,43,1264,273,611,260,2.535,117100,"INLAND","40-50"
"270",-117.62,33.43,24,1296,384,850,367,2.7545,231300,"NEAR OCEAN","20-30"
"271",-121.68,39.11,19,1366,220,596,203,4.0625,141700,"INLAND","10-20"
"272",-119.82,36.74,52,610,128,406,122,1.8967,43800,"INLAND","50+"
"273",-117.71,33.6,25,1949,459,602,428,2.7601,72500,"<1H OCEAN","20-30"
"274",-122.09,37.71,35,2663,387,1086,367,5.1498,266400,"NEAR BAY","30-40"
"275",-117.09,32.65,20,1445,323,573,334,2.619,145800,"NEAR OCEAN","20-30"
"276",-117.89,33.88,27,2091,336,1037,332,5.7519,243400,"<1H OCEAN","20-30"
"277",-118.43,34.11,27,10806,1440,3511,1352,12.7296,500001,"<1H OCEAN","20-30"
"278",-121.93,36.62,39,869,173,406,165,4.0313,253800,"NEAR OCEAN","30-40"
"279",-118.28,34.04,20,1193,454,1880,453,2.1806,180000,"<1H OCEAN","20-30"
"280",-118.3,34.01,52,1444,343,1154,334,2.0625,134400,"<1H OCEAN","50+"
"281",-123.81,39.34,17,1981,371,773,325,3.1563,277000,"<1H OCEAN","10-20"
"282",-121.25,37.97,41,855,189,716,206,2.0375,75000,"INLAND","40-50"
"283",-120.98,37.68,18,4197,1006,2203,874,2.166,118600,"INLAND","10-20"
"284",-118.14,34.2,39,2569,426,1282,432,5.0953,207400,"INLAND","30-40"
"285",-121.59,39.39,22,2515,482,1284,462,2.1776,73800,"INLAND","20-30"
"286",-118.05,34.16,41,3320,713,1236,659,3.5694,278600,"INLAND","40-50"
"287",-122.72,38.31,26,1644,294,801,291,4.3906,248000,"<1H OCEAN","20-30"
"288",-118.39,34.21,32,1869,441,1516,432,3.6845,178500,"<1H OCEAN","30-40"
"289",-119.93,38.94,27,1709,408,97,44,2.4917,2e+05,"INLAND","20-30"
"290",-119.78,36.84,7,4907,1075,2014,909,3.2147,111900,"INLAND","<10"
"291",-122.76,38.52,6,2073,388,826,375,3.055,224100,"<1H OCEAN","<10"
"292",-119.34,34.39,27,669,131,314,106,2.4659,231300,"NEAR OCEAN","20-30"
"293",-122.63,38.94,25,661,144,192,93,1.7566,49000,"INLAND","20-30"
"294",-122.6,38.93,16,1657,390,572,301,1.4767,62000,"INLAND","10-20"
"295",-121.3,37.95,9,674,242,575,193,2.2024,45000,"INLAND","<10"
"296",-119.77,36.31,14,3677,863,2191,785,2.6218,69100,"INLAND","10-20"
"297",-119.79,36.3,16,1717,277,903,289,4.3438,93100,"INLAND","10-20"
"298",-118.38,34.09,28,4001,1352,1799,1220,2.5784,272900,"<1H OCEAN","20-30"
"299",-120.73,37.38,23,1451,292,1052,265,2.8698,72900,"INLAND","20-30"
"300",-117.9,34.09,39,1726,333,892,335,4.3409,191800,"<1H OCEAN","30-40"
